           Type     Irradiance           W/m2
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value      0.8349155           W/m2

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min      0.2342160           W/m2
            Max       1.992036           W/m2
 Total_Rad_Flux       5.009493              W
 Total_Lum_Flux       914.0195             lm

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             21              m
       Vertical             31              m


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21
          index            y\x     0.04761905      0.1428571      0.2380952      0.3333333      0.4285714      0.5238095      0.6190476      0.7142857      0.8095238      0.9047619       1.000000       1.095238       1.190476       1.285714       1.380952       1.476190       1.571429       1.666667       1.761905       1.857143       1.952381
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             19       1.790323      0.5646757      0.6057582      0.6267610      0.6728748      0.7224507      0.7570246      0.7973685      0.8445440      0.8788409      0.9272166      0.9700993       1.009382       1.050141       1.102071       1.123674       1.152524       1.195129       1.214978       1.213963       1.250799       1.250475
             20       1.887097      0.5764927      0.6134207      0.6539954      0.6909696      0.7254973      0.7804739      0.8395126      0.8787948      0.9271705      0.9795621       1.014182       1.058957       1.113334       1.154416       1.193422       1.233858       1.250429       1.276371       1.313899       1.333840       1.339149
             21       1.983871      0.6052042      0.6433324      0.6785064      0.7330675      0.7769196      0.8204485      0.8606539      0.9178923      0.9693608       1.026507       1.083007       1.115965       1.175050       1.209162       1.269678       1.294743       1.342703       1.363014       1.390063       1.407650       1.410835
             22       2.080645      0.6180829      0.6694590      0.7129418      0.7562860      0.8110780      0.8541453      0.9118454      0.9625752       1.013674       1.086746       1.125520       1.169972       1.235058       1.281587       1.316807       1.375061       1.409220       1.430961       1.457826       1.482383       1.496324
             23       2.177419      0.6406551      0.6878307      0.7401300      0.7911369      0.8327732      0.9014132      0.9454960       1.016444       1.061035       1.110518       1.176112       1.228365       1.301067       1.339980       1.408712       1.436454       1.489907       1.513588       1.542576       1.564733       1.572857
             24       2.274194      0.6632274      0.7038021      0.7544858      0.8034154      0.8586690      0.9202003      0.9827933       1.031492       1.091823       1.153078       1.218948       1.288881       1.352674       1.411897       1.458657       1.509802       1.561225       1.586290       1.615740       1.649667       1.652945
             25       2.370968      0.6796142      0.7317751      0.7808893      0.8102933      0.8907502      0.9401415       1.020645       1.076591       1.126582       1.207039       1.271247       1.331394       1.400080       1.464058       1.529374       1.581720       1.625849       1.673994       1.702105       1.719738       1.719554
             26       2.467742      0.6909696      0.7331599      0.7907214      0.8485138      0.8995668      0.9624829       1.036754       1.107056       1.152985       1.242213       1.315053       1.385447       1.453533       1.510864       1.582781       1.630003       1.697305       1.715953       1.753989       1.778315       1.792533
             27       2.564516      0.7012633      0.7583632      0.8093239      0.8652699      0.9211235      0.9942872       1.047741       1.124320       1.210962       1.281356       1.343119       1.413790       1.482430       1.569026       1.622156       1.673209       1.737787       1.778362       1.826368       1.846909       1.871836
             28       2.661290      0.7126186      0.7723497      0.8278803      0.8921350      0.9448036       1.014274       1.073221       1.147769       1.211978       1.302867       1.371553       1.460365       1.517142       1.596537       1.677548       1.744434       1.781085       1.840354       1.866989       1.899624       1.915918
             29       2.758065      0.7121570      0.7707341      0.8366507      0.8900117      0.9493735       1.017829       1.102071       1.174404       1.258138       1.326686       1.404742       1.469828       1.547469       1.631665       1.724677       1.751635       1.815474       1.869020       1.905856       1.933782       1.945969
             30       2.854839      0.7281746      0.7799661      0.8404358      0.8962433      0.9460038       1.024153       1.105394       1.188205       1.264462       1.333933       1.411528       1.486953       1.571842       1.658622       1.720477       1.776331       1.834215       1.903501       1.939783       1.971818       1.992036
             31       2.951613      0.7254050      0.7846745      0.8411743      0.9061677      0.9609135       1.025768       1.108533       1.186821       1.271155       1.329363       1.431838       1.514742       1.608308       1.668455       1.741249       1.805873       1.850556       1.905809       1.942045       1.958616       1.977588
